S. No.,State Name,District Name,University Name ,College Name
1,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Aazad College of Education
2,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Abhinav Institute of Management & Technology
3,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Abhyudaya Mahila Degree College
4,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",A.B.M. College
5,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",A.B.R College of Education
6,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.C.College (Day)
7,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.C.College of Law
8,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.C.Evening College
9,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Acharya N.G.Ranga College of Education
10,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Adarsa College of Education
11,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Adarsa Degree College for Women
12,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.G.K.M.College
13,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.L.College of Education
14,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Ali College of Education
15,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",AL Momin College of Education
16,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Alpha College of Education
17,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur","Alpha College of Education, Kanigiri "
18,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Alpha Degree College
19,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Aman Showkath B.Ed College
20,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.M.G.College of Education
21,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.M.G.Degree College for Women
22,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.M Reddy College of Education
23,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.M. Reddy Memorial College of Pharmacy
24,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Amrutha College of Education
25,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Amrutha Degree College
26,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Andhra Kesari College of Education
27,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Andhra Kesari Vidya Kendram Degree College
28,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Andhra Muslim College
29,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Andhra Muslim College of Education
30,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Anitha Venkateswara College of Eduation
31,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Annabattuni Satyanarayana Degree College
32,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Anniebesant College of Education
33,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",ANU PG Campus Ongole
34,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.P.Residential Degree College
35,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Asha College of Education
36,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",A.S.M & A.W. D Women's Degree College
37,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","A.S.N Pharmacy College, Tenali "
38,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",B.A & K.R College of Education
39,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",B.A & K.R Degree College
40,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Balaji Degree College
41,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Bapatla College of Arts & Science
42,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Bapatla Engineering College
43,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Bapatla Womens Engineering College
44,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Bapuji College of Education
45,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",B.B.H Degree College
46,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","B.G Degree College, Sattenapalli "
47,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Bharathi Degree College
48,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Bhashyam College of Education
49,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",B.H.H Degree College for Women
50,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur","B.M.Degree College, P.Dornala "
51,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",BMRM Jhansi B.Ed College
52,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",B.R College of Education
53,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",B.S.S.B College
54,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",B.V.S.P.M Degree College
55,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Career Degree College
56,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur","Chaitanya Bharathi Degree College, Chirala "
57,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Chaitanya College of Education
58,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Chakradhar Degree College, Macherla "
59,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Chalapathi Degree College, Lam "
60,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Chalapathi Institute of Engineering & Technology, Lam "
61,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Chalapathi Institute of Pharmaceutical Sciences, Lam "
62,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Chebrolu Hanumaiah College of Pharmaceutical Sciences
63,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Chegireddy Linga Reddy Instt of Management
